book_name,rating,price
It's Only the Himalayas,2,£45.17
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,4,£49.43
See America: A Celebration of Our National Parks & Treasured Sites,3,£48.87
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,2,£36.94
Under the Tuscan Sun,3,£37.33
A Summer In Europe,2,£44.34
The Great Railway Bazaar,1,£30.54
A Year in Provence (Provence #1),4,£56.88
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),1,£23.21
Neither Here nor There: Travels in Europe,3,£38.95
"1,000 Places to See Before You Die",5,£26.08
